"","Date","Open","High","Low","Close","WAP","No. of Shares","No. of Trades","Total Turnover","Deliverable Quantity","% Deli. Qty to Traded Qty","Spread H-L","Spread C-O","securityname"
"42",2018-09-14,1481.9,1516.55,1417,1446.95,1477.6,37471,3287,55367287,4585,12.24,99.55,-34.95,"ABB India Limited"
"43",2018-09-12,1384,1476.65,1380,1462.35,1437.89,91691,5040,131841908,29583,32.26,96.65,78.35,"ABB India Limited"
"44",2018-09-11,1387,1397,1357.35,1384.85,1381.12,15581,1276,21519257,5546,35.59,39.65,-2.15,"ABB India Limited"
"45",2018-09-10,1356,1396.85,1329.8,1373.35,1371.13,30704,1756,42099051,5853,19.06,67.05,17.35,"ABB India Limited"
"46",2018-09-07,1310,1374,1310,1345.25,1343.03,30630,2006,41136864,5068,16.55,64,35.25,"ABB India Limited"
"47",2018-09-06,1277,1320,1270,1291.1,1286.48,3747,349,4820443,875,23.35,50,14.1,"ABB India Limited"
"48",2018-09-05,1292.85,1292.85,1228.85,1253.75,1258.16,11143,796,14019682,3986,35.77,64,-39.1,"ABB India Limited"
"49",2018-09-04,1307,1307.05,1252.9,1274.55,1276.35,10298,593,13143814,4074,39.56,54.15,-32.45,"ABB India Limited"
"50",2018-09-03,1321.05,1321.05,1300,1305.1,1305.99,25971,258,33917822,22649,87.21,21.05,-15.95,"ABB India Limited"
"51",2018-08-31,1311.35,1330,1305.05,1312.35,1314.9,5703,348,7498851,2184,38.3,24.95,1,"ABB India Limited"
"52",2018-08-30,1327.3,1334,1303.95,1312.4,1320.53,5866,501,7746235,1401,23.88,30.05,-14.9,"ABB India Limited"
"53",2018-08-29,1314.5,1365.65,1302.95,1322.1,1341.71,19112,1212,25642777,4118,21.55,62.7,7.6,"ABB India Limited"
"54",2018-08-28,1325,1327.2,1300,1309.25,1308.37,15218,471,19910764,1739,11.43,27.2,-15.75,"ABB India Limited"
"55",2018-08-27,1320,1331.45,1312.7,1322.25,1326.14,8289,547,10992380,3162,38.15,18.75,2.25,"ABB India Limited"
"56",2018-08-24,1330,1355.65,1309.95,1318.85,1333.35,16710,1116,22280213,4006,23.97,45.7,-11.15,"ABB India Limited"
"57",2018-08-23,1275,1331.9,1275,1325.85,1309.49,37322,1841,48872646,11171,29.93,56.9,50.85,"ABB India Limited"
"58",2018-08-21,1232,1282,1232,1272.05,1254.31,141412,2346,177373949,112834,79.79,50,40.05,"ABB India Limited"
"59",2018-08-20,1234.05,1266.65,1210,1223.05,1241.6,22322,1344,27714975,6492,29.08,56.65,-11,"ABB India Limited"
"60",2018-08-17,1211.55,1235,1194.8,1227,1215.84,2779,330,3378827,1197,43.07,40.2,15.45,"ABB India Limited"
"61",2018-08-16,1208,1219.9,1190.75,1198.8,1204.91,3227,254,3888245,1661,51.47,29.15,-9.2,"ABB India Limited"
"62",2018-08-14,1200,1219.3,1194,1207.35,1202.33,1172,154,1409133,341,29.1,25.3,7.35,"ABB India Limited"
"63",2018-08-13,1201,1233.35,1163.55,1204.9,1195.42,5811,365,6946608,1647,28.34,69.8,3.9,"ABB India Limited"
"64",2018-08-10,1197.45,1211.65,1197.45,1206.95,1207.86,7255,213,8763004,1085,14.96,14.2,9.5,"ABB India Limited"
"65",2018-08-09,1206,1216.1,1198.2,1204.9,1208.27,1830,218,2211141,628,34.32,17.9,-1.1,"ABB India Limited"
"66",2018-08-08,1211.3,1223.05,1206,1211.65,1213.62,2718,240,3298613,953,35.06,17.05,0.35,"ABB India Limited"
